ID,PANEL_NAME,TEST_NAME,"Comp_FLAG
(H = positive result / 0 = negative result)","Screen_FLAG 
(H = positive result / 0 = negative result / blank = not tested)","Confirm_FLAG 
(H = positive result / 0 = negative result / blank = not tested)",COMP/EIA_Comparison,COMP/Confirm_Comparison,EIA/Confirm_Comparison
614,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
615,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
616,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,0,0,0,0/0,0/0,0/0
617,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,0,0,0,0/0,0/0,0/0
618,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,H,,H,,H/H,
619,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),0,0,0,0/0,0/0,0/0
620,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,H,,H,,H/H,
621,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,0,0,0/0,0/0,0/0
622,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
623,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
624,Pain (PAR) - Comprehensive Screen Panel,Lorazepam,0,0,0,0/0,0/0,0/0
625,Pain (PAR) - Comprehensive Screen Panel,Methadone,0,0,0,0/0,0/0,0/0
626,Pain (PAR) - Comprehensive Screen Panel,Morphine,0,0,0,0/0,0/0,0/0
627,Pain (PAR) - Comprehensive Screen Panel,Naloxone,0,,0,,0/0,
628,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
629,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,0,0,0,0/0,0/0,0/0
630,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,0,0,0/0,0/0,0/0
631,Pain (PAR) - Comprehensive Screen Panel,Norfentanyl,0,0,0,0/0,0/0,0/0
632,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,0,,0/0,,
633,Pain (PAR) - Comprehensive Screen Panel,Noroxycodone,0,0,,0/0,,
634,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
635,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
636,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
637,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
638,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,0,0,0/0,0/0,0/0
639,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
640,Pain (PAR) - Comprehensive Screen Panel,Amphetamine,0,0,0,0/0,0/0,0/0
641,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,0,0,0,0/0,0/0,0/0
642,Pain (PAR) - Comprehensive Screen Panel,Cocaine Metabolite (Benzoylecgonine),0,0,0,0/0,0/0,0/0
643,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,0,,0,,0/0,
644,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
645,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
646,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
647,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
648,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
649,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,0,0,0/0,0/0,0/0
650,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
651,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,0,0,0,0/0,0/0,0/0
652,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
653,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,H,H,H,H/H,H/H,H/H
654,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,0,,0/0,
655,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),0,0,0,0/0,0/0,0/0
656,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,0,,0,,0/0,
657,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,0,0,0/0,0/0,0/0
658,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
659,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
660,Pain (PAR) - Comprehensive Screen Panel,Lorazepam,0,0,0,0/0,0/0,0/0
661,Pain (PAR) - Comprehensive Screen Panel,Methadone,0,0,0,0/0,0/0,0/0
662,Pain (PAR) - Comprehensive Screen Panel,Morphine,0,0,0,0/0,0/0,0/0
663,Pain (PAR) - Comprehensive Screen Panel,Naloxone,H,,H,,H/H,
664,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
665,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,H,H,H,H/H,H/H,H/H
666,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,0,0,0/0,0/0,0/0
667,Pain (PAR) - Comprehensive Screen Panel,Norfentanyl,0,0,0,0/0,0/0,0/0
668,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,0,,0/0,,
669,Pain (PAR) - Comprehensive Screen Panel,Noroxycodone,0,0,,0/0,,
670,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
671,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
672,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
673,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
674,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,0,0,0/0,0/0,0/0
675,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
676,Pain (PAR) - Comprehensive Screen Panel,Amphetamine,0,0,0,0/0,0/0,0/0
677,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,0,0,0,0/0,0/0,0/0
678,Pain (PAR) - Comprehensive Screen Panel,Cocaine Metabolite (Benzoylecgonine),0,0,0,0/0,0/0,0/0
679,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,0,,0,,0/0,
680,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
681,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
682,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
683,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
684,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
685,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,0,0,0/0,0/0,0/0
686,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
687,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,0,0,0,0/0,0/0,0/0
688,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
689,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,0,0,0,0/0,0/0,0/0
690,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,0,,0/0,
691,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),0,0,0,0/0,0/0,0/0
692,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,0,,0,,0/0,
693,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,0,0,0/0,0/0,0/0
694,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
695,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
696,Pain (PAR) - Comprehensive Screen Panel,Lorazepam,0,0,0,0/0,0/0,0/0
697,Pain (PAR) - Comprehensive Screen Panel,Methadone,0,0,0,0/0,0/0,0/0
698,Pain (PAR) - Comprehensive Screen Panel,Morphine,0,0,0,0/0,0/0,0/0
699,Pain (PAR) - Comprehensive Screen Panel,Naloxone,0,,0,,0/0,
700,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
701,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,0,0,0,0/0,0/0,0/0
702,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,0,0,0/0,0/0,0/0
703,Pain (PAR) - Comprehensive Screen Panel,Norfentanyl,0,0,0,0/0,0/0,0/0
704,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,0,,0/0,,
705,Pain (PAR) - Comprehensive Screen Panel,Noroxycodone,0,0,,0/0,,
706,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
707,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
708,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
709,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
710,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,0,0,0/0,0/0,0/0
711,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
712,Pain (PAR) - Comprehensive Screen Panel,Amphetamine,0,0,0,0/0,0/0,0/0
713,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,0,0,0,0/0,0/0,0/0
714,Pain (PAR) - Comprehensive Screen Panel,Cocaine Metabolite (Benzoylecgonine),0,0,0,0/0,0/0,0/0
715,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,0,,0,,0/0,
716,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
717,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
718,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
719,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
720,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
721,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
722,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,H,H,H,H/H,H/H,H/H
723,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,0,0,0,0/0,0/0,0/0
724,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
725,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
726,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),0,0,0,0/0,0/0,0/0
727,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
728,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,0,0,0/0,0/0,0/0
729,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,0,,0,,0/0,
730,Pain (PAR) - Comprehensive Screen Panel,Methadone,0,0,0,0/0,0/0,0/0
731,Pain (PAR) - Comprehensive Screen Panel,Morphine,0,0,0,0/0,0/0,0/0
732,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,0,0,0/0,0/0,0/0
733,Pain (PAR) - Comprehensive Screen Panel,Naloxone,H,,H,,H/H,
734,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
735,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
736,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,0,,0,,0/0,
737,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
738,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
739,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
740,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
741,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,H,H,H,H/H,H/H,H/H
742,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,0,0,0/0,0/0,0/0
743,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
744,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,0,0,0/0,0/0,0/0
745,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
746,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
747,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
748,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
749,Pain (PAR) - Comprehensive Screen Panel,Norfentanyl,0,0,0,0/0,0/0,0/0
750,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,0,0,0,0/0,0/0,0/0
751,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,0,,0/0,,
752,Pain (PAR) - Comprehensive Screen Panel,Amphetamine,0,0,0,0/0,0/0,0/0
753,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,0,,0/0,
754,Pain (PAR) - Comprehensive Screen Panel,Lorazepam,0,0,0,0/0,0/0,0/0
755,Pain (PAR) - Comprehensive Screen Panel,Cocaine Metabolite (Benzoylecgonine),0,0,0,0/0,0/0,0/0
756,Pain (PAR) - Comprehensive Screen Panel,Noroxycodone,0,0,,0/0,,
757,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
758,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,H,H,H,H/H,H/H,H/H
759,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,H,H,H,H/H,H/H,H/H
760,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
761,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
762,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),0,0,0,0/0,0/0,0/0
763,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
764,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,0,0,0/0,0/0,0/0
765,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,0,,0,,0/0,
766,Pain (PAR) - Comprehensive Screen Panel,Methadone,0,0,0,0/0,0/0,0/0
767,Pain (PAR) - Comprehensive Screen Panel,Morphine,0,0,0,0/0,0/0,0/0
768,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,0,0,0/0,0/0,0/0
769,Pain (PAR) - Comprehensive Screen Panel,Naloxone,H,,H,,H/H,
770,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
771,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
772,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,0,,0,,0/0,
773,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
774,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
775,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
776,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
777,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,H,H,H,H/H,H/H,H/H
778,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,0,0,0/0,0/0,0/0
779,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
780,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,0,0,0/0,0/0,0/0
781,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
782,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
783,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
784,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
785,Pain (PAR) - Comprehensive Screen Panel,Norfentanyl,0,0,0,0/0,0/0,0/0
786,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,0,0,0,0/0,0/0,0/0
787,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,0,,0/0,,
788,Pain (PAR) - Comprehensive Screen Panel,Amphetamine,0,0,0,0/0,0/0,0/0
789,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,0,,0/0,
790,Pain (PAR) - Comprehensive Screen Panel,Lorazepam,0,0,0,0/0,0/0,0/0
791,Pain (PAR) - Comprehensive Screen Panel,Cocaine Metabolite (Benzoylecgonine),0,0,0,0/0,0/0,0/0
792,Pain (PAR) - Comprehensive Screen Panel,Noroxycodone,0,0,,0/0,,
793,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
794,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,0,0,0,0/0,0/0,0/0
795,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,H,H,H,H/H,H/H,H/H
796,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
797,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
798,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),0,0,0,0/0,0/0,0/0
799,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
800,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,0,0,0/0,0/0,0/0
801,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,0,,0,,0/0,
802,Pain (PAR) - Comprehensive Screen Panel,Methadone,0,0,0,0/0,0/0,0/0
803,Pain (PAR) - Comprehensive Screen Panel,Morphine,0,0,0,0/0,0/0,0/0
804,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,0,0,0/0,0/0,0/0
805,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
806,Pain (PAR) - Comprehensive Screen Panel,Naloxone,0,,0,,0/0,
807,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
808,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,0,,0,,0/0,
809,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
810,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
811,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
812,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
813,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,0,0,0,0/0,0/0,0/0
814,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,0,0,0/0,0/0,0/0
815,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
816,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,0,0,0/0,0/0,0/0
817,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
818,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
819,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
820,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
821,Pain (PAR) - Comprehensive Screen Panel,Norfentanyl,0,0,0,0/0,0/0,0/0
822,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,0,0,0,0/0,0/0,0/0
823,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,0,,0/0,,
824,Pain (PAR) - Comprehensive Screen Panel,Amphetamine,0,0,0,0/0,0/0,0/0
825,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,0,,0/0,
826,Pain (PAR) - Comprehensive Screen Panel,Lorazepam,0,0,0,0/0,0/0,0/0
827,Pain (PAR) - Comprehensive Screen Panel,Cocaine Metabolite (Benzoylecgonine),0,0,0,0/0,0/0,0/0
828,Pain (PAR) - Comprehensive Screen Panel,Noroxycodone,0,0,,0/0,,
829,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
830,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,H,H,H,H/H,H/H,H/H
831,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,H,H,H,H/H,H/H,H/H
832,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
833,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
834,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),0,0,0,0/0,0/0,0/0
835,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
836,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,0,0,0/0,0/0,0/0
837,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,0,,0,,0/0,
838,Pain (PAR) - Comprehensive Screen Panel,Methadone,0,0,0,0/0,0/0,0/0
839,Pain (PAR) - Comprehensive Screen Panel,Morphine,0,0,0,0/0,0/0,0/0
840,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,0,0,0/0,0/0,0/0
841,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
842,Pain (PAR) - Comprehensive Screen Panel,Naloxone,H,,H,,H/H,
843,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
844,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,H,,H,,H/H,
845,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
846,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
847,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
848,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
849,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,H,H,H,H/H,H/H,H/H
850,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,0,0,0/0,0/0,0/0
851,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
852,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,0,0,0/0,0/0,0/0
853,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
854,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
855,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
856,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
857,Pain (PAR) - Comprehensive Screen Panel,Norfentanyl,0,0,0,0/0,0/0,0/0
858,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,0,0,0,0/0,0/0,0/0
859,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,0,,0/0,,
860,Pain (PAR) - Comprehensive Screen Panel,Amphetamine,0,0,0,0/0,0/0,0/0
861,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,0,,0/0,
862,Pain (PAR) - Comprehensive Screen Panel,Lorazepam,0,0,0,0/0,0/0,0/0
863,Pain (PAR) - Comprehensive Screen Panel,Cocaine Metabolite (Benzoylecgonine),0,0,0,0/0,0/0,0/0
864,Pain (PAR) - Comprehensive Screen Panel,Noroxycodone,0,0,,0/0,,
865,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
866,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,H,H,H,H/H,H/H,H/H
867,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,H,H,H,H/H,H/H,H/H
868,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
869,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
870,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),0,0,0,0/0,0/0,0/0
871,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
872,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,0,0,0/0,0/0,0/0
873,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,0,,0,,0/0,
874,Pain (PAR) - Comprehensive Screen Panel,Methadone,0,0,0,0/0,0/0,0/0
875,Pain (PAR) - Comprehensive Screen Panel,Morphine,0,0,0,0/0,0/0,0/0
876,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,0,0,0/0,0/0,0/0
877,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
878,Pain (PAR) - Comprehensive Screen Panel,Naloxone,H,,H,,H/H,
879,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
880,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,0,,0,,0/0,
881,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
882,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
883,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
884,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
885,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,H,H,H,H/H,H/H,H/H
886,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,0,0,0/0,0/0,0/0
887,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
888,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,0,0,0/0,0/0,0/0
889,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
890,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
891,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
892,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
893,Pain (PAR) - Comprehensive Screen Panel,Norfentanyl,0,0,0,0/0,0/0,0/0
894,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,0,0,0,0/0,0/0,0/0
895,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,0,,0/0,,
896,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,0,,0/0,
